"χ=0.65","χ=0.66","χ=0.67","χ=0.68","χ=0.69","χ=0.70","χ=0.71","χ=0.72","χ=0.73","χ=0.74"
-2.694970305968099-0.36615476513205597*I,-2.7005416973113436-0.3767215337097096*I,-2.7090854910122832-0.3951757287003275*I,-2.7175765843237345-0.4171479052241178*I,-2.7209186373783454-0.4271491547240836*I,-2.729777653794428-0.45925086347626637*I,-2.7346504068239983-0.4823680600477513*I,-2.738874407164621-0.508334468327635*I,-2.742029117168681-0.5348735624718377*I,-2.74263767176086-0.5413117678403974*I
-2.669574200447244-0.4683288044364428*I,-2.655738140348095-0.468372622345477*I,-2.631247430695825-0.46943900457190285*I,-2.601349820886653-0.47282945519594455*I,-2.587493712121607-0.4752979810574514*I,-2.5425914841718837-0.48777125381497327*I,-2.5107654762883107-0.5012523721954852*I,-2.476688982692994-0.5205264151281106*I,-2.444513457256241-0.5438387057091328*I,-2.437161726370666-0.5499184564216314*I
-2.99683869651129-0.699622003312127*I,-2.9891827504217083-0.7051432460389632*I,-2.9764788935191744-0.7143361657397581*I,-2.9620814784945995-0.7248180465430174*I,-2.955696664146421-0.7294930454604407*I,-2.935588223966538-0.7443460790617294*I,-2.9212621500934537-0.7550670268854905*I,-2.9051480366684386-0.767285443386883*I,-2.8885391841544266-0.7800744428079723*I,-2.88447906619449-0.7832329606467346*I
-3.343636591641594-0.7928908811537998*I,-3.336903394386451-0.7994174486332462*I,-3.325794557798481-0.8101244842065598*I,-3.3132875614901827-0.8220940681387903*I,-3.3077647252704696-0.8273526460522397*I,-3.290443440187322-0.8437455194453312*I,-3.278149075682654-0.8552952261729633*I,-3.264339842046404-0.8681893896847023*I,-3.2501011376570155-0.8814023135191161*I,-3.24661627244297-0.8846238557223732*I
-3.6864296996529076-0.8314727851927501*I,-3.6790686577636347-0.8382807488163903*I,-3.6669791941293126-0.8493492189068531*I,-3.653456129121458-0.8615767716821121*I,-3.647516214237792-0.8669006312058302*I,-3.629022212542142-0.883314080042774*I,-3.6160292852874973-0.8947187887901574*I,-3.601579271320777-0.9073063626349069*I,-3.586850597403762-0.920061606928378*I,-3.583273515643569-0.9231516749622574*I
-4.020266508394238-0.8641276131324996*I,-4.010999243584788-0.8715151686795418*I,-3.99572814552954-0.8834386214785613*I,-3.978567365594217-0.8964714623112283*I,-3.9710021464986363-0.9020955395711143*I,-3.9473353573255796-0.9192173492354302*I,-3.930602704605064-0.9308964421851643*I,-3.9118878893320868-0.9435468680921061*I,-3.8926965285309802-0.9560723912625193*I,-3.888018150042389-0.959057665084578*I
-4.375117095016701-0.9122603874100808*I,-4.364236908811401-0.9208066252557325*I,-4.346266563096228-0.9346277367874478*I,-4.326007766619178-0.9497815792509873*I,-4.317053826924645-0.9563387262290597*I,-4.288944863714154-0.976380988250204*I,-4.268974610588591-0.9901347968858415*I,-4.246532505437685-1.0051262880026801*I,-4.223388576162128-1.0200867746508586*I,-4.217724668849718-1.0236723847962215*I
-4.759668155529894-0.9560668786054065*I,-4.747501639179987-0.9653076988827205*I,-4.727389011345739-0.9802660211828953*I,-4.70469206828828-0.9966905229703698*I,-4.694653792061959-1.003806517054156*I,-4.66311886169024-1.0255970277030557*I,-4.640698692171035-1.0405913780741018*I,-4.615492776701064-1.056980212173849*I,-4.58949196590311-1.0733899542646204*I,-4.583128502930633-1.0773320421980244*I
